x,y
-6.129032373428300318e-01,4.514745420963322802e-07
-6.097468709292432898e-01,4.872134239056222782e-07
-6.065905045156565478e-01,5.220503436092973941e-07
-6.034341381020698059e-01,5.556112494968097726e-07
-6.002777716884830639e-01,5.875119601952427494e-07
-5.971214052748963219e-01,6.173526619390307015e-07
-5.939650388613095799e-01,6.447172533947879284e-07
-5.908086724477227270e-01,6.691796819272709704e-07
-5.876523060341359850e-01,6.903183750109889140e-07
-5.844959396205492430e-01,7.077385539566937520e-07
-5.813395732069625010e-01,7.211008315232403247e-07
-5.781832067933757591e-01,7.301532596260337663e-07
-5.750268403797890171e-01,7.347631024182989881e-07
-5.718704739662022751e-01,7.349442026551637700e-07
-5.687141075526155332e-01,7.308759516280871796e-07
-5.655577411390287912e-01,7.229105538634388641e-07
-5.624013747254420492e-01,7.115664161344864196e-07
-5.592450083118553072e-01,6.975069510518251892e-07
-5.560886418982684543e-01,6.815056994049861271e-07
-5.529322754846817123e-01,6.644002596724533490e-07
-5.497759090710949703e-01,6.470388897952012498e-07
-5.466195426575082283e-01,6.302246585709192619e-07
-5.434631762439214864e-01,6.146625497579081486e-07
-5.403068098303347444e-01,6.009148852766460801e-07
-5.371504434167480024e-01,5.893698140091532528e-07
-5.339940770031612605e-01,5.802264493029382478e-07
-5.308377105895745185e-01,5.734986315474110338e-07
-5.276813441759877765e-01,5.690373961313729001e-07
-5.245249777624010346e-01,5.665702358297782798e-07
-5.213686113488142926e-01,5.657533743808584159e-07
-5.182122449352274396e-01,5.662317249295718236e-07
-5.150558785216406976e-01,5.677001747238712635e-07
-5.118995121080539557e-01,5.699594470353040243e-07
-5.087431456944672137e-01,5.729601071902256876e-07
-5.055867792808804717e-01,5.768292912359307373e-07
-5.024304128672937297e-01,5.818763573771127132e-07
-4.992740464537069878e-01,5.885757389392070113e-07
-4.961176800401202458e-01,5.975276079878344723e-07
-4.929613136265335038e-01,6.093993038066846952e-07
-4.898049472129467063e-01,6.248525957897532212e-07
-4.866485807993599644e-01,6.444635104796573035e-07
-4.834922143857732224e-01,6.686424767048783383e-07
-4.803358479721864804e-01,6.975628170010982928e-07
-4.771794815585996830e-01,7.311051055561391400e-07
-4.740231151450129410e-01,7.688236776478854122e-07
-4.708667487314261990e-01,8.099397483578324014e-07
-4.677103823178394570e-01,8.533633771490850852e-07
-4.645540159042527151e-01,8.977441328773061141e-07
-4.613976494906659731e-01,9.415480074252097789e-07
-4.582412830770792311e-01,9.831561040638838330e-07
-4.550849166634924892e-01,1.020979045002149721e-06
-4.519285502499056917e-01,1.053579990983337494e-06
-4.487721838363189497e-01,1.079798665577951910e-06
-4.456158174227322077e-01,1.098868790822491276e-06
-4.424594510091454103e-01,1.110521791111158839e-06
-4.393030845955586683e-01,1.115070411059784486e-06
-4.361467181819719263e-01,1.113466922490747049e-06
-4.329903517683851844e-01,1.107331781830909416e-06
-4.298339853547984424e-01,1.098949879485773145e-06
-4.266776189412117004e-01,1.091232856476456240e-06
-4.235212525276249584e-01,1.087647327850401194e-06
-4.203648861140382165e-01,1.092110235539059664e-06
-4.172085197004514745e-01,1.108853949117554420e-06
-4.140521532868646770e-01,1.142265135563417205e-06
-4.108957868732779350e-01,1.196702820058955585e-06
-4.077394204596911931e-01,1.276302444464761828e-06
-4.045830540461043956e-01,1.384774072526899630e-06
-4.014266876325176536e-01,1.525204146445136385e-06
-3.982703212189309117e-01,1.699871294195950560e-06
-3.951139548053441697e-01,1.910087507579967094e-06
-3.919575883917574277e-01,2.156076398664606751e-06
-3.888012219781706857e-01,2.436899997196333137e-06
-3.856448555645839438e-01,2.750444451364510415e-06
-3.824884891509972018e-01,3.093472830419176298e-06
-3.793321227374104598e-01,3.461749856658177468e-06
-3.761757563238236624e-01,3.850238797693713230e-06
-3.730193899102369204e-01,4.253365090024752003e-06
-3.698630234966501784e-01,4.665334921966884699e-06
-3.667066570830633809e-01,5.080490578968495162e-06
-3.635502906694766390e-01,5.493678627370466898e-06
-3.603939242558898970e-01,5.900602853439318683e-06
-3.572375578423031550e-01,6.298132112935804027e-06
-3.540811914287164130e-01,6.684534522000818010e-06
-3.509248250151296711e-01,7.059614036669380300e-06
-3.477684586015429291e-01,7.424733285482462103e-06
-3.446120921879561316e-01,7.782716907732767847e-06
-3.414557257743693897e-01,8.137641526454776958e-06
-3.382993593607826477e-01,8.494530436841672523e-06
-3.351429929471959057e-01,8.858981565569027576e-06
-3.319866265336091637e-01,9.236764799454402807e-06
-3.288302601200224218e-01,9.633428272065280005e-06
-3.256738937064356243e-01,1.005395204470032674e-05
-3.225175272928488823e-01,1.050248188461313217e-05
-3.193611608792621404e-01,1.098216625653965068e-05
-3.162047944656753984e-01,1.149510750517581680e-05
-3.130484280520886564e-01,1.204242519986023790e-05
-3.098920616385019144e-01,1.262441754405248460e-05
-3.067356952249151170e-01,1.324079726306417657e-05
-3.035793288113283750e-01,1.389097268781417674e-05
-3.004229623977416330e-01,1.457434343998247021e-05
-2.972665959841548911e-01,1.529058306822442706e-05
-2.941102295705681491e-01,1.603988737402644235e-05
-2.909538631569813516e-01,1.682317565500664796e-05
-2.877974967433946096e-01,1.764224105821658199e-05
-2.846411303298078677e-01,1.849985407800007895e-05
-2.814847639162211257e-01,1.939982868486085613e-05
-2.783283975026343837e-01,2.034706293751594057e-05
-2.751720310890476417e-01,2.134756520807009237e-05
-2.720156646754608443e-01,2.240847400583781838e-05
-2.688592982618741023e-01,2.353807497468427817e-05
-2.657029318482873603e-01,2.474581431348917172e-05
-2.625465654347006184e-01,2.604230483054248017e-05
-2.593901990211138764e-01,2.743931982624394522e-05
-2.562338326075271344e-01,2.894977107455712332e-05
-2.530774661939403369e-01,3.058766972009967341e-05
-2.499210997803535950e-01,3.236807177625133697e-05
-2.467647333667668530e-01,3.430701175325588198e-05
