Wavelength,Black rubber,Window glass,Slate sonte,White marble,Fiberglass,Rubberized coating
0.300000,4.950000,5.820000,10.230000,29.350000,6.770000,5.490000
0.302000,4.970000,5.790000,10.350000,29.719999,6.800000,5.530000
0.304000,4.980000,5.770000,10.480000,30.080000,6.820000,5.560000
0.306000,5.000000,5.750000,10.590000,30.410000,6.840000,5.580000
0.308000,5.010000,5.740000,10.690000,30.740000,6.850000,5.590000
0.310000,5.030000,5.740000,10.780000,31.059999,6.850000,5.600000
0.312000,5.040000,5.740000,10.870000,31.370001,6.840000,5.610000
0.314000,5.060000,5.740000,10.940000,31.680000,6.820000,5.610000
0.316000,5.070000,5.750000,11.050000,32.000000,6.790000,5.600000
0.318000,5.080000,5.780000,11.290000,32.419998,6.750000,5.570000
0.320000,5.090000,5.810000,11.550000,32.840000,6.690000,5.540000
0.322000,5.100000,5.840000,11.600000,33.139999,6.650000,5.520000
0.324000,5.110000,5.890000,11.650000,33.439999,6.610000,5.500000
0.326000,5.130000,5.980000,11.700000,33.750000,6.560000,5.480000
0.328000,5.140000,6.100000,11.740000,34.060001,6.520000,5.450000
0.330000,5.150000,6.280000,11.780000,34.369999,6.480000,5.430000
0.332000,5.160000,6.520000,11.820000,34.689999,6.440000,5.420000
0.334000,5.170000,6.830000,11.850000,35.000000,6.400000,5.400000
0.336000,5.180000,7.200000,11.890000,35.330002,6.380000,5.390000
0.338000,5.190000,7.620000,11.930000,35.680000,6.350000,5.390000
0.340000,5.210000,8.070000,11.960000,36.040001,6.350000,5.390000
0.342000,5.220000,8.540000,12.000000,36.419998,6.350000,5.410000
0.344000,5.230000,9.010000,12.040000,36.830002,6.380000,5.430000
0.346000,5.240000,9.460000,12.090000,37.250000,6.420000,5.480000
0.348000,5.250000,9.890000,12.140000,37.689999,6.480000,5.530000
0.350000,5.260000,10.270000,12.180000,38.160000,6.550000,5.610000
0.352000,5.270000,10.610000,12.230000,38.650002,6.650000,5.700000
0.354000,5.280000,10.920000,12.290000,39.180000,6.780000,5.810000
0.356000,5.290000,11.180000,12.350000,39.740002,6.920000,5.940000
0.358000,5.310000,11.400000,12.410000,40.320000,7.090000,6.080000
0.360000,5.320000,11.590000,12.480000,40.930000,7.280000,6.250000
0.362000,5.340000,11.740000,12.540000,41.580002,7.500000,6.440000
0.364000,5.350000,11.850000,12.610000,42.250000,7.750000,6.660000
0.366000,5.360000,11.910000,12.680000,42.970001,8.020000,6.900000
0.368000,5.380000,11.950000,12.750000,43.709999,8.330000,7.170000
0.370000,5.400000,11.930000,12.830000,44.490002,8.680000,7.480000
0.372000,5.420000,11.870000,12.910000,45.299999,9.080000,7.830000
0.374000,5.440000,11.770000,13.000000,46.150002,9.540000,8.210000
0.376000,5.470000,11.660000,13.100000,47.029999,10.070000,8.670000
0.378000,5.480000,11.550000,13.240000,48.070000,10.780000,9.270000
0.380000,5.510000,11.520000,13.400000,49.150002,11.660000,9.990000
0.382000,5.530000,11.560000,13.510000,50.070000,12.610000,10.750000
0.384000,5.550000,11.650000,13.640000,50.980000,13.760000,11.670000
0.386000,5.570000,11.760000,13.770000,51.889999,15.170000,12.780000
0.388000,5.590000,11.870000,13.910000,52.770000,16.879999,14.090000
0.390000,5.620000,11.960000,14.040000,53.619999,18.930000,15.610000
0.392000,5.640000,12.030000,14.180000,54.439999,21.309999,17.330000
0.394000,5.650000,12.070000,14.300000,55.209999,23.980000,19.230000
0.396000,5.670000,12.110000,14.410000,55.959999,26.900000,21.260000
0.398000,5.690000,12.120000,14.520000,56.669998,30.010000,23.350000
0.400000,5.710000,12.130000,14.610000,57.340000,33.200001,25.450001
0.402000,5.720000,12.120000,14.690000,57.970001,36.389999,27.480000
0.404000,5.740000,12.100000,14.760000,58.580002,39.410000,29.389999
0.406000,5.750000,12.070000,14.830000,59.160000,42.180000,31.110001
0.408000,5.760000,12.040000,14.900000,59.709999,44.610001,32.599998
0.410000,5.780000,12.010000,14.960000,60.220001,46.660000,33.849998
0.412000,5.790000,11.970000,15.030000,60.720001,48.360001,34.900002
0.414000,5.800000,11.940000,15.100000,61.200001,49.720001,35.750000
0.416000,5.810000,11.910000,15.170000,61.680000,50.810001,36.459999
0.418000,5.830000,11.890000,15.230000,62.150002,51.689999,37.070000
0.420000,5.840000,11.870000,15.290000,62.619999,52.389999,37.599998
0.422000,5.850000,11.850000,15.360000,63.090000,52.990002,38.070000
0.424000,5.870000,11.840000,15.420000,63.549999,53.490002,38.509998
0.426000,5.880000,11.820000,15.480000,64.029999,53.950001,38.930000
0.428000,5.900000,11.810000,15.540000,64.510002,54.380001,39.330002
0.430000,5.910000,11.790000,15.600000,64.989998,54.779999,39.730000
0.432000,5.920000,11.770000,15.660000,65.470001,55.160000,40.110001
0.434000,5.940000,11.750000,15.720000,65.949997,55.509998,40.470001
0.436000,5.950000,11.740000,15.770000,66.419998,55.860001,40.840000
0.438000,5.960000,11.730000,15.820000,66.879997,56.189999,41.189999
0.440000,5.970000,11.720000,15.870000,67.309998,56.490002,41.509998
0.442000,5.980000,11.720000,15.930000,67.720001,56.779999,41.790001
0.444000,5.980000,11.720000,15.980000,68.110001,57.040001,42.049999
0.446000,5.990000,11.720000,16.020000,68.459999,57.290001,42.299999
0.448000,6.000000,11.720000,16.059999,68.779999,57.509998,42.520000
0.450000,6.000000,11.730000,16.100000,69.070000,57.720001,42.720001
0.452000,6.000000,11.730000,16.129999,69.349998,57.900002,42.910000
0.454000,6.010000,11.740000,16.160000,69.589996,58.080002,43.080002
0.456000,6.010000,11.740000,16.170000,69.809998,58.230000,43.240002
0.458000,6.010000,11.740000,16.190001,70.000000,58.380001,43.400002
0.460000,6.020000,11.750000,16.219999,70.190002,58.549999,43.570000
0.462000,6.030000,11.750000,16.240000,70.370003,58.689999,43.740002
0.464000,6.030000,11.750000,16.270000,70.529999,58.840000,43.880001
0.466000,6.030000,11.750000,16.299999,70.709999,58.980000,44.020000
0.468000,6.040000,11.740000,16.320000,70.870003,59.130001,44.169998
0.470000,6.040000,11.740000,16.340000,71.040001,59.279999,44.310001
0.472000,6.040000,11.730000,16.370001,71.199997,59.419998,44.459999
0.474000,6.050000,11.730000,16.389999,71.379997,59.580002,44.619999
0.476000,6.050000,11.720000,16.410000,71.559998,59.750000,44.799999
