X,P1,P2,P3,P4,P5
4.146816220000000044e+02,1.750752210617065430e+00,8.484725952148437500e+01,-1.825371551513671875e+01,-1.500759887695312500e+01,2.297846832275390625e+02
4.183203070000000139e+02,-1.287126183509826660e+00,1.492689361572265625e+02,-1.761812400817871094e+01,-4.282107353210449219e+00,3.766983642578125000e+02
4.219589920000000234e+02,1.926907348632812500e+01,2.286905670166015625e+02,-1.313315010070800781e+01,1.966449141502380371e+00,4.729463500976562500e+02
4.255976759999999786e+02,3.213388442993164062e+01,2.802611694335937500e+02,-1.604436111450195312e+01,1.673598098754882812e+01,5.943140258789062500e+02
4.292363609999999881e+02,7.588610076904296875e+01,3.665719909667968750e+02,6.282744884490966797e+00,2.304792976379394531e+01,6.778447265625000000e+02
4.328750459999999975e+02,5.415490722656250000e+01,3.352763671875000000e+02,-4.720642566680908203e+00,1.991710662841796875e+01,6.504175415039062500e+02
4.365137310000000070e+02,7.244202423095703125e+01,3.729252014160156250e+02,-9.830732345581054688e+00,4.076027679443359375e+01,6.687890014648437500e+02
4.401524150000000191e+02,1.095859527587890625e+02,4.403044128417968750e+02,5.166657924652099609e+00,4.989410781860351562e+01,7.643243408203125000e+02
4.437910999999999717e+02,1.366634521484375000e+02,5.248220214843750000e+02,2.808284378051757812e+01,6.524871063232421875e+01,8.280042114257812500e+02
4.474297849999999812e+02,1.286387939453125000e+02,5.274531860351562500e+02,1.332663249969482422e+01,6.623071289062500000e+01,8.370424194335937500e+02
4.510684699999999907e+02,1.494379425048828125e+02,5.532416992187500000e+02,3.800641775131225586e+00,5.989941787719726562e+01,8.655227050781250000e+02
4.547071550000000002e+02,1.251997528076171875e+02,5.630997314453125000e+02,1.947194784879684448e-01,6.385930252075195312e+01,8.486347656250000000e+02
4.583458390000000122e+02,1.516750488281250000e+02,6.098782958984375000e+02,1.052346515655517578e+01,7.130593109130859375e+01,8.725880737304687500e+02
4.619845240000000217e+02,1.690368041992187500e+02,6.444531250000000000e+02,2.128707122802734375e+01,8.469821929931640625e+01,8.974952392578125000e+02
4.656232089999999744e+02,1.919464569091796875e+02,6.367445678710937500e+02,2.058653450012207031e+01,8.273249816894531250e+01,8.897330932617187500e+02
4.692618939999999839e+02,1.623236541748046875e+02,6.265613403320312500e+02,8.848461151123046875e+00,7.125894165039062500e+01,8.797625732421875000e+02
4.729005779999999959e+02,1.870244293212890625e+02,6.744534301757812500e+02,1.422678661346435547e+01,8.011119842529296875e+01,8.951525268554687500e+02
4.765392630000000054e+02,2.108646850585937500e+02,7.302054443359375000e+02,2.067404365539550781e+01,7.978459930419921875e+01,9.659612426757812500e+02
4.801779480000000149e+02,2.618427124023437500e+02,7.787786865234375000e+02,2.871831130981445312e+01,9.916596984863281250e+01,1.019717590332031250e+03
4.838166330000000244e+02,2.507834777832031250e+02,7.917167968750000000e+02,3.280343627929687500e+01,9.679460906982421875e+01,1.000378112792968750e+03
4.874553169999999795e+02,2.334793853759765625e+02,7.860889892578125000e+02,3.175583267211914062e+01,1.018638229370117188e+02,1.000060913085937500e+03
4.910940019999999890e+02,2.700031433105468750e+02,8.308515014648437500e+02,3.353021240234375000e+01,1.087205352783203125e+02,1.044302001953125000e+03
4.947326869999999985e+02,2.842179870605468750e+02,8.443986206054687500e+02,3.660708999633789062e+01,1.094197540283203125e+02,1.030459838867187500e+03
4.983713720000000080e+02,2.862176513671875000e+02,8.619437255859375000e+02,3.665710830688476562e+01,1.135804519653320312e+02,1.056590820312500000e+03
5.020100560000000200e+02,2.944690856933593750e+02,8.691142578125000000e+02,4.649248504638671875e+01,1.299162292480468750e+02,1.058532592773437500e+03
5.056487409999999727e+02,3.157181701660156250e+02,9.222994384765625000e+02,5.736192703247070312e+01,1.441809539794921875e+02,1.095389038085937500e+03
5.092874259999999822e+02,3.417045898437500000e+02,9.455656127929687500e+02,6.611255645751953125e+01,1.705496673583984375e+02,1.130447143554687500e+03
5.129261109999999917e+02,3.804554443359375000e+02,9.805615234375000000e+02,9.774210357666015625e+01,2.134868927001953125e+02,1.187730712890625000e+03
5.165647960000000012e+02,3.741864929199218750e+02,9.792453613281250000e+02,1.049370346069335938e+02,2.306662139892578125e+02,1.153718750000000000e+03
5.202034800000000132e+02,3.951393432617187500e+02,9.936083984375000000e+02,1.304549865722656250e+02,2.629229736328125000e+02,1.152420410156250000e+03
5.238421650000000227e+02,4.600216674804687500e+02,1.059007934570312500e+03,1.647171173095703125e+02,3.172381896972656250e+02,1.203510131835937500e+03
5.274808500000000322e+02,4.582250671386718750e+02,1.077901733398437500e+03,2.068715057373046875e+02,3.669968872070312500e+02,1.219091674804687500e+03
5.311195350000000417e+02,5.257268676757812500e+02,1.170300292968750000e+03,2.345761718750000000e+02,4.252039489746093750e+02,1.327135253906250000e+03
5.347582190000000537e+02,5.564472045898437500e+02,1.180802978515625000e+03,2.659319458007812500e+02,4.588698120117187500e+02,1.316757934570312500e+03
5.383969039999999495e+02,5.686417846679687500e+02,1.229508422851562500e+03,2.795249633789062500e+02,4.882750549316406250e+02,1.359077148437500000e+03
5.420355889999999590e+02,5.802062988281250000e+02,1.239893676757812500e+03,2.846023559570312500e+02,4.949484558105468750e+02,1.352057739257812500e+03
5.456742739999999685e+02,6.015900268554687500e+02,1.286301879882812500e+03,2.989507751464843750e+02,5.172141723632812500e+02,1.388435546875000000e+03
5.493129579999999805e+02,6.170960083007812500e+02,1.320940063476562500e+03,3.038576660156250000e+02,5.250327758789062500e+02,1.386456420898437500e+03
5.529516429999999900e+02,6.362794189453125000e+02,1.358570434570312500e+03,3.210752258300781250e+02,5.296652832031250000e+02,1.418286743164062500e+03
5.565903279999999995e+02,6.615394897460937500e+02,1.386464599609375000e+03,3.061613769531250000e+02,5.586735229492187500e+02,1.442114868164062500e+03
5.602290130000000090e+02,6.795353393554687500e+02,1.397782104492187500e+03,3.086507873535156250e+02,5.489871826171875000e+02,1.463577026367187500e+03
5.638676970000000210e+02,6.795807495117187500e+02,1.398634521484375000e+03,2.856072387695312500e+02,5.045876464843750000e+02,1.437577636718750000e+03
5.675063820000000305e+02,6.534099731445312500e+02,1.399558227539062500e+03,2.546840362548828125e+02,4.875375061035156250e+02,1.453493652343750000e+03
5.711450670000000400e+02,6.575928344726562500e+02,1.379289062500000000e+03,2.371148071289062500e+02,4.462162780761718750e+02,1.413347045898437500e+03
5.747837520000000495e+02,6.937739868164062500e+02,1.422216064453125000e+03,2.271216430664062500e+02,4.291642456054687500e+02,1.453937377929687500e+03
5.784224369999999453e+02,6.898798828125000000e+02,1.431704956054687500e+03,2.108519897460937500e+02,4.186490783691406250e+02,1.480525878906250000e+03
